neighbourhood_cleansed,price
Barking and Dagenham,58.133971291866025
Barnet,80.5568065506653
Bexley,49.07142857142857
Brent,81.30264900662252
Bromley,57.835978835978835
Camden,134.93567729626602
City of London,171.25207756232686
Croydon,57.22628726287263
Ealing,80.26152398871119
Enfield,59.375
Greenwich,77.9535747446611
Hackney,88.98517441860466
Hammersmith and Fulham,115.14843152257077
Haringey,80.26634768740031
Harrow,65.89041095890411
Havering,69.06060606060606
Hillingdon,65.32535885167464
Hounslow,89.72964169381108
Islington,108.02739726027397
Kensington and Chelsea,202.6250645994832
Kingston upon Thames,78.27364864864865
Lambeth,90.25274725274726
Lewisham,64.85339168490154
Merton,107.55924170616113
Newham,86.30482115085536
Redbridge,58.32783018867924
Richmond upon Thames,113.2443729903537
Southwark,98.5570117955439
Sutton,51.377245508982035
Tower Hamlets,91.32357385719682
Waltham Forest,69.15829145728644
Wandsworth,111.203173374613
Westminster,196.76714801444044
